名目原系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Original Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
10-12.,"137,519.5 ","73,111.2 ","71,146.0 ","60,588.9 ","5,329.9 ","19,403.9 ","1,480.2 ","23,534.7 ","12,813.7 ",-59.3 ,"1,905.3 ","13,296.8 ","11,391.5 ",,"1,488.4 ","2,444.8 ",956.4 ,"139,007.9 ",,"135,614.2 ","99,325.2 ","36,289.1 ",,"37,547.5 ",,"136,098.6 ",,,,,,
2000/ 1- 3.,"128,553.4 ","70,936.9 ","69,879.2 ","59,276.5 ","5,068.2 ","22,572.5 ","-4,162.6 ","20,724.7 ","11,257.8 ",81.5 ,"2,074.4 ","13,502.3 ","11,427.9 ",,"1,915.2 ","3,107.6 ","1,192.4 ","130,468.7 ",,"126,479.1 ","94,415.0 ","32,064.1 ",,"38,898.5 ",,"132,634.5 ",,,,,,
4- 6.,"130,062.3 ","70,264.3 ","68,804.6 ","58,133.8 ","5,240.2 ","18,081.1 ","2,366.9 ","23,771.6 ","8,291.3 ",-20.2 ,"2,067.0 ","13,739.4 ","11,672.4 ",,"1,931.9 ","3,024.7 ","1,092.8 ","131,994.2 ",,"127,995.3 ","95,952.5 ","32,042.8 ",,"31,612.7 ",,"127,715.6 ",,,,,,
7- 9.,"128,854.0 ","71,678.1 ","70,337.4 ","59,614.1 ","5,505.4 ","21,290.0 ",-914.7 ,"19,902.9 ","9,354.1 ",-34.1 ,"2,072.3 ","14,265.9 ","12,193.6 ",,"2,004.0 ","3,042.9 ","1,038.9 ","130,857.9 ",,"126,781.6 ","97,558.7 ","29,222.9 ",,"36,149.5 ",,"129,802.8 ",,,,,,
10-12.,"139,236.3 ","73,709.5 ","71,976.7 ","61,197.4 ","5,462.3 ","20,824.5 ","2,290.0 ","24,361.4 ","11,289.8 ",-15.7 ,"1,314.5 ","14,452.0 ","13,137.5 ",,"1,673.0 ","2,813.8 ","1,140.8 ","140,909.3 ",,"137,921.8 ","102,286.3 ","35,635.5 ",,"37,576.6 ",,"136,961.9 ",,,,,,
2001/ 1- 3.,"130,294.1 ","71,483.1 ","70,561.7 ","59,759.8 ","5,107.7 ","23,333.7 ","-3,309.9 ","21,479.9 ","11,142.1 ",52.4 ,"1,005.0 ","13,943.0 ","12,938.0 ",,"2,387.7 ","3,558.2 ","1,170.5 ","132,681.8 ",,"129,289.1 ","96,614.7 ","32,674.4 ",,"39,583.5 ",,"133,551.6 ",,,,,,
4- 6.,"130,086.7 ","71,575.0 ","70,069.8 ","59,180.4 ","4,859.1 ","18,270.6 ","2,663.2 ","24,542.9 ","7,660.9 ",-64.7 ,579.7 ,"13,376.3 ","12,796.6 ",,"1,844.8 ","3,100.5 ","1,255.7 ","131,931.6 ",,"129,507.1 ","97,368.0 ","32,139.1 ",,"30,790.6 ",,"127,488.2 ",,,,,,
7- 9.,"127,068.5 ","72,473.8 ","71,065.0 ","60,122.4 ","5,132.6 ","20,486.0 ","-1,102.4 ","20,568.5 ","8,736.8 ",-71.0 ,844.2 ,"13,150.4 ","12,306.2 ",,"2,002.5 ","3,053.9 ","1,051.4 ","129,071.0 ",,"126,224.3 ","96,990.0 ","29,234.3 ",,"34,355.4 ",,"128,241.9 ",,,,,,
10-12.,"135,555.6 ","73,400.7 ","71,597.5 ","60,607.7 ","5,012.6 ","18,526.6 ","1,929.6 ","25,116.0 ","10,565.3 ",-18.4 ,"1,023.3 ","13,029.0 ","12,005.7 ",,"1,736.1 ","2,694.8 ",958.7 ,"137,291.7 ",,"134,532.3 ","98,869.5 ","35,662.8 ",,"34,104.5 ",,"133,644.5 ",,,,,,
2002/ 1- 3.,"126,478.3 ","71,181.1 ","70,143.8 ","59,125.4 ","4,651.1 ","20,710.4 ","-4,434.7 ","22,366.6 ","10,326.4 ",17.1 ,"1,660.3 ","13,642.7 ","11,982.4 ",,"2,336.2 ","3,174.9 ",838.7 ,"128,814.5 ",,"124,818.0 ","92,107.9 ","32,710.1 ",,"35,687.9 ",,"130,895.9 ",,,,,,
